Name,URL,Language,size,Oversize?
qpid-proton,https://github.com/apache/qpid-proton.git,C++,15654,False
cordova-plugin-dialogs,https://github.com/apache/cordova-plugin-dialogs.git,JavaScript,508,False
predictionio-sdk-php,https://github.com/apache/predictionio-sdk-php.git,PHP,154,False
tez,https://github.com/apache/tez.git,Java,28790,False
jackrabbit-oak,https://github.com/apache/jackrabbit-oak.git,Java,75692,False
airflow-ci-infra,https://github.com/apache/airflow-ci-infra.git,Python,121,False
camel-examples,https://github.com/apache/camel-examples.git,,9983,False
camel-spring-boot,https://github.com/apache/camel-spring-boot.git,Java,209240,False
apisix-go-plugin-runner,https://github.com/apache/apisix-go-plugin-runner.git,Go,695,False
skywalking-java,https://github.com/apache/skywalking-java.git,Java,161064,False
apisix-helm-chart,https://github.com/apache/apisix-helm-chart.git,Smarty,390,False
apisix-docker,https://github.com/apache/apisix-docker.git,Dockerfile,223,False
storm,https://github.com/apache/storm.git,Java,205454,False
rocketmq-dashboard,https://github.com/apache/rocketmq-dashboard.git,Java,5115,False
openoffice,https://github.com/apache/openoffice.git,C++,2019583,True
incubator-shenyu-website,https://github.com/apache/incubator-shenyu-website.git,TypeScript,338510,True
incubator-eventmesh,https://github.com/apache/incubator-eventmesh.git,Java,24011,False
commons-io,https://github.com/apache/commons-io.git,Java,8951,False
servicecomb-docs,https://github.com/apache/servicecomb-docs.git,Python,46080,False
dubbo-python2,https://github.com/apache/dubbo-python2.git,Python,151,False
rya,https://github.com/apache/rya.git,Java,8748,False
sling-org-apache-sling-servlets-resolver,https://github.com/apache/sling-org-apache-sling-servlets-resolver.git,Java,1138,False
openwhisk,https://github.com/apache/openwhisk.git,Scala,68282,False
dubbo-website,https://github.com/apache/dubbo-website.git,HTML,411949,True
cloudstack-go,https://github.com/apache/cloudstack-go.git,Go,6914,False
dubbo-admin,https://github.com/apache/dubbo-admin.git,Java,14399,False
hawq,https://github.com/apache/hawq.git,C,179634,False
cloudstack-terraform-provider,https://github.com/apache/cloudstack-terraform-provider.git,Go,7289,False
incubator-weex-ui,https://github.com/apache/incubator-weex-ui.git,Vue,6179,False
nutch,https://github.com/apache/nutch.git,Java,136587,False
incubator-linkis,https://github.com/apache/incubator-linkis.git,Java,72985,False
myfaces,https://github.com/apache/myfaces.git,Java,66848,False
mynewt-nimble,https://github.com/apache/mynewt-nimble.git,C,13747,False
curator,https://github.com/apache/curator.git,Java,10414,False
sling-org-apache-sling-launchpad-test-services,https://github.com/apache/sling-org-apache-sling-launchpad-test-services.git,Java,311,False
rocketmq-externals,https://github.com/apache/rocketmq-externals.git,Java,35025,False
rocketmq-operator,https://github.com/apache/rocketmq-operator.git,Go,650,False
calcite-avatica-go,https://github.com/apache/calcite-avatica-go.git,Go,601,False
flink-connectors,https://github.com/apache/flink-connectors.git,Kotlin,59,False
ratis,https://github.com/apache/ratis.git,Java,7261,False
skywalking-eyes,https://github.com/apache/skywalking-eyes.git,Go,1452,False
flink-ml,https://github.com/apache/flink-ml.git,Java,499,False
incubator-toree,https://github.com/apache/incubator-toree.git,Scala,11192,False
stratos,https://github.com/apache/stratos.git,Java,67395,False
skywalking-goapi,https://github.com/apache/skywalking-goapi.git,Shell,337,False
maven-toolchains-plugin,https://github.com/apache/maven-toolchains-plugin.git,Java,132,False
cordova-android,https://github.com/apache/cordova-android.git,JavaScript,37577,False
cordova-ios,https://github.com/apache/cordova-ios.git,JavaScript,31873,False
datasketches-postgresql,https://github.com/apache/datasketches-postgresql.git,C,276,False
datasketches-memory,https://github.com/apache/datasketches-memory.git,Java,8145,False
